objective,group,run,tag,file
CLM,gpt_valid/approach3_flops/25M_flops,tensorboard_gpt_25.1M_1024l_1e18flops_all0.03ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-tensorboard_gpt_25.1M_1024l_1e18flops_all0.03ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/25M_flops,tensorboard_gpt_25.1M_1024l_1e19flops_all0.3ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-tensorboard_gpt_25.1M_1024l_1e19flops_all0.3ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/25M_flops,tensorboard_gpt_25.1M_1024l_3e18flops_all0.1ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-tensorboard_gpt_25.1M_1024l_3e18flops_all0.1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/25M_flops,tensorboard_gpt_25.1M_1024l_3e19flops_all1ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-tensorboard_gpt_25.1M_1024l_3e19flops_all1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/3.4B_flops,gpt_3.4b_1024l_1e21flops_all0.25ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_3.4b_1024l_1e21flops_all0.25ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/300M_flops,gpt_300M_1024l_1e19flops_all0.03ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_300M_1024l_1e19flops_all0.03ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/300M_flops,gpt_300M_1024l_3e19flops_all0.08ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_300M_1024l_3e19flops_all0.08ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/300M_flops,gpt_300M_bsz0.5M_lr4.0_1024_noreg_all0.5ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_300M_bsz0.5M_lr4.0_1024_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/300M_flops,gpt_300M_bsz0.5M_lr4.0_1024_noreg_all0.75ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_300M_bsz0.5M_lr4.0_1024_noreg_all0.75ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/34M_flops,gpt_25M_1024l_3e18flops_all0.07ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_25M_1024l_3e18flops_all0.07ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/34M_flops,gpt_25M_1024l_3e19flops_all0.75ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_25M_1024l_3e19flops_all0.75ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/34M_flops,gpt_25M_1024l_6e18flops_all0.15ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_25M_1024l_6e18flops_all0.15ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/34M_flops,gpt_25M_bsz0.5M_lr6.0_1024_noreg_all0.25ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_25M_bsz0.5M_lr6.0_1024_noreg_all0.25ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/34M_flops,gpt_25M_bsz0.5M_lr6.0_1024_noreg_all0.5ep_bf16,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_25M_bsz0.5M_lr6.0_1024_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/393M_flops,gpt_393M_1024l_1e20flops_all0.21ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_393M_1024l_1e20flops_all0.21ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/393M_flops,gpt_393M_1024l_3e19flops_all0.06ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_393M_1024l_3e19flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/393M_flops,gpt_393M_1024l_3e20flops_all0.64ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_393M_1024l_3e20flops_all0.64ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
CLM,gpt_valid/approach3_flops/470M_flops,gpt_470M_1024l_1e20flops_all0.18ep,lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings),run-gpt_470M_1024l_1e20flops_all0.18ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv
