objective,directory,run_file,N_params_no_embed,C_final_flops,D_final_tokens_C_over_6N,epoch_label,batch_label,L_final,L_min,n_logged_points,tensorboard_capped_1000,in_released_notebook_fit,content_sha256_12,identical_content_as,known_issue
CLM,170M_flops,run-tensorboard_gpt_170M_1024l_3e19flops_all0.15ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344.0,3.00117944e+19,29382996396.60097,0.15,,2.436018228530884,2.427443504333496,187,False,True,89790f056f70,170M_flops/run-gpt_170M_1024l_3e19flops_all0.15ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,
CLM,170M_flops,run-tensorboard_gpt_170M_bsz0.5M_lr5.0_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,170233344.0,2.04161659145e+20,199884126054.84232,1.0,0.5M,2.3505280017852783,2.337078332901001,1000,True,True,e3d3e523e054,170M_flops/run-gpt_170M_bsz0.5M_lr5.0_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,TensorBoard export capped at 1000 points; row index is not the evaluation index
CLM,2.4B_flops,run-gpt_2.4b_1024l_1e21flops_all0.35ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,2359296000.0,9.99795131587e+20,70628069530.55771,0.35,,2.210998296737671,2.1960983276367188,225,False,True,6221e97d8db3,,
CLM,2.4B_flops,run-gpt_2.4b_1024l_3e20flops_all0.1ep_wu10-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,2359296000.0,3.00210283463e+20,21207617545.16319,0.1,,2.32844352722168,2.323060274124145,68,False,True,54724ef216fd,,
CLM,2.8B_flops,run-gpt_3b_1024_noreg_all0.25ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,2834283904.0,8.50174104331e+20,49993468845.93769,0.25,,2.243400812149048,2.2174768447875977,159,False,True,531aa3d1c314,,
CLM,2.8B_flops,run-gpt_3b_1024_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,2834283904.0,1.700366038372e+21,99987986146.5941,0.5,,2.1703989505767822,2.156619071960449,318,False,True,c71858e0303d,,
CLM,2.8B_flops,run-gpt_3b_1024_noreg_all0.75ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,2834283904.0,2.55055797241e+21,149982503447.07413,0.75,,2.133838176727295,2.117391347885132,477,False,True,8608442a53a3,,
CLM,2.8B_flops,run-gpt_3b_1024_noreg_all1ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,2834283904.0,3.400732076738e+21,199975972292.8354,1.0,,2.105414628982544,2.096923351287842,636,False,True,7c06d5bdb88d,,
CLM,2.8B_flops,run-gpt_3b_1024l_1e21flops_all0.3ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,2834283904.0,9.99818867825e+20,58793149739.04369,0.3,,2.221229553222656,2.2008657455444336,187,False,True,e963851fd135,,
CLM,2.8B_flops,run-gpt_3b_1024l_3e20flops_all0.09ep_wu10-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,2834283904.0,2.99253867564e+20,17597264876.53934,0.09,,2.338700771331787,2.338700771331787,56,False,True,3bc87d1e98df,,
CLM,230M_flops,run-tensorboard_gpt_230M_1024l_1e19flops_all0.04ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,231211008.0,1.0000115765e+19,7208506096.878109,0.04,,2.5387156009674072,2.524963855743408,46,False,True,f62a29df3546,,
CLM,230M_flops,run-tensorboard_gpt_230M_1024l_1e20flops_all0.36ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,231211008.0,1.00146076316e+20,72189524468.20064,0.36,,2.3648276329040527,2.351322650909424,459,False,True,65eda998688c,,
CLM,230M_flops,run-tensorboard_gpt_230M_1024l_3e19flops_all0.1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,231211008.0,3.0001803765e+19,21626568175.767826,0.1,,2.4435629844665527,2.420007705688477,138,False,True,171a17eb47a4,,
CLM,25M_flops,run-tensorboard_gpt_25.1M_1024l_1e18flops_all0.03ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,25165824.0,1.001744824e+18,6634293821.122911,0.03,,2.6409289836883545,2.6283633708953857,43,False,True,357c567e5a7b,,
CLM,25M_flops,run-tensorboard_gpt_25.1M_1024l_1e19flops_all0.3ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,25165824.0,1.001792428e+19,66346090899.57343,0.3,,2.5553886890411377,2.53695011138916,421,False,True,d70f61f0c4a3,,
CLM,25M_flops,run-tensorboard_gpt_25.1M_1024l_3e18flops_all0.1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,25165824.0,3.011422979e+18,19943866325.74929,0.1,,2.596891403198242,2.577176570892334,127,False,True,c9893dc54338,,
CLM,25M_flops,run-tensorboard_gpt_25.1M_1024l_3e19flops_all1ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,25165824.0,3.0114388479e+19,199439714213.2123,1.0,,2.523061752319336,2.510232925415039,1000,True,True,798d031e4d92,,TensorBoard export capped at 1000 points; row index is not the evaluation index
CLM,3.4B_flops,run-gpt_3.4b_1024l_1e21flops_all0.25ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,3425697792.0,1.001365243934e+21,48718310094.9768,0.25,,2.231316089630127,2.210124492645264,155,False,True,bd6aeb540183,,
CLM,300M_flops,run-gpt_300M_1024l_1e19flops_all0.03ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,302426080.0,1.0011473905e+19,5517311814.399957,0.03,,2.56384825706482,2.5522267818450928,36,False,True,37e17acbc9f7,,
CLM,300M_flops,run-gpt_300M_1024l_3e19flops_all0.08ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,302426080.0,2.9926965735e+19,16492716575.567822,0.08,,2.445687770843506,2.432298421859741,105,False,True,fdbb56852db7,,
CLM,300M_flops,run-gpt_300M_bsz0.5M_lr4.0_1024_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,302426080.0,1.81376183872e+20,99956207409.97823,0.5,0.5M,2.340188980102539,2.323408603668213,636,False,True,f5c0827cc241,,
CLM,300M_flops,run-gpt_300M_bsz0.5M_lr4.0_1024_noreg_all0.75ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,302426080.0,2.72065226745e+20,149934835175.26,0.75,0.5M,2.317336082458496,2.2976598739624023,954,False,True,2ec8dcbe8f22,,
CLM,34M_flops,run-gpt_25M_1024l_3e18flops_all0.07ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,33690624.0,2.985827449e+18,14770813035.895882,0.07,,2.582382917404175,2.5765161514282227,95,False,True,317e555a174a,,
CLM,34M_flops,run-gpt_25M_1024l_3e19flops_all0.75ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,33690624.0,2.9859014926e+19,147711793277.16418,0.75,,2.5070197582244877,2.4867117404937744,941,False,True,8e9c2808657a,,
CLM,34M_flops,run-gpt_25M_1024l_6e18flops_all0.15ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,33690624.0,5.991963772e+18,29642093558.928047,0.15,,2.549822807312012,2.546783924102783,189,False,True,4cc9915aad67,,
CLM,34M_flops,run-gpt_25M_bsz0.5M_lr6.0_1024_noreg_all0.25ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,33690624.0,1.0087480743e+19,49902512654.559326,0.25,0.5M,2.535075664520264,2.51920223236084,318,False,True,9cc06609693d,,
CLM,34M_flops,run-gpt_25M_bsz0.5M_lr6.0_1024_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,33690624.0,2.0174961486e+19,99805025309.11865,0.5,0.5M,2.5153212547302246,2.497588872909546,636,False,True,0108782e432f,,
CLM,393M_flops,run-gpt_393M_1024l_1e20flops_all0.21ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,393216000.0,1.00120912898e+20,42436774740.43104,0.21,,2.3766438961029053,2.358171224594116,270,False,True,2b8ffa57620a,,
CLM,393M_flops,run-gpt_393M_1024l_3e19flops_all0.06ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,393216000.0,2.9988857231e+19,12710934630.9238,0.06,,2.460117816925049,2.4523746967315674,81,False,True,782b85c24b3e,,
CLM,393M_flops,run-gpt_393M_1024l_3e20flops_all0.64ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,393216000.0,2.99892286408e+20,127110920549.18077,0.64,,2.3059325218200684,2.2832694053649902,808,False,True,d8cd9b0722be,,
CLM,470M_flops,run-gpt_470M_1024l_1e20flops_all0.18ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,472435184.0,1.00026466393e+20,35287544824.7027,0.18,,2.354346990585327,2.352012157440185,225,False,True,c0882d7ab454,,
CLM,470M_flops,run-gpt_470M_1024l_3e19flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,472435184.0,3.0035127078e+19,10595854590.288094,0.05,,2.4641566276550293,2.4554595947265625,68,False,True,d45effe220c8,,
CLM,470M_flops,run-gpt_470M_bsz0.5M_lr4.0_1024_noreg_all0.25ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,472435184.0,1.41680761938e+20,49982433829.483795,0.25,0.5M,2.340637683868408,2.319213390350342,318,False,True,064ea856a420,,
CLM,470M_flops,run-gpt_470M_bsz0.5M_lr4.0_1024_noreg_all0.5ep_bf16-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,472435184.0,2.83361523878e+20,99964867659.67314,0.5,0.5M,2.300533533096313,2.284564018249512,636,False,True,488d36b5f6d9,,
CLM,47M_flops,run-gpt_47M_1024l_1e18flops_bsz250k_all0.02ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,47775744.0,1.002500671e+18,3497244232.6940355,0.02,250k,2.633620500564575,2.604065179824829,45,False,True,76a436bb2510,,
CLM,47M_flops,run-gpt_47M_1024l_1e19flops_all0.17ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,47775744.0,1.0025157323e+19,34972967743.49204,0.17,,2.520271062850952,2.509243488311768,222,False,True,478bcdd67ed0,,
CLM,47M_flops,run-gpt_47M_1024l_3e18flops_all0.05ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,47775744.0,3.01616179e+18,10521942508.455057,0.05,,2.5821847915649414,2.5685300827026367,67,False,True,3e577f658287,,
CLM,47M_flops,run-gpt_47M_1024l_3e19flops_all0.5ep-tag-lm-loss-validation_valid_lm loss validation vs gigaflos (without embeddings).csv,47775744.0,3.0161768506e+19,105219950476.68262,0.5,,2.487875699996948,2.4642367362976074,668,False,True,6eaebda4f4e1,,
